Row ID,Order ID,Year,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,ORD10000,2024,2024-03-10,2024-03-07,Second Class,CUST3000,Kumar,Corporate,India,Mumbai,Maharashtra,651992,East,PRD5000,Fashion,Shoes,Smart TV,46643.0,5,,
2,ORD10001,2023,2023-01-07,2023-01-07,Same Day,CUST3001,Rahul,Consumer,India,Bengaluru,Karnataka,666761,East,PRD5001,Home,Shirt,iPhone 14,42474.0,1,0.2,9858.649404522355
3,ORD10002,2023,2023-12-14,2023-12-20,First Class,CUST3002,Meena,Home Office,India,New Delhi,Delhi,605630,South,PRD5002,Sports,Shoes,Cotton Shirt,79044.0,7,0.2,10497.513849856667
4,ORD10003,2024,2024-02-16,2024-02-14,First Class,CUST3003,Akalya,Corporate,India,Pune,Maharashtra,679599,South,PRD5003,Home,Laptop,Samsung Mobile,,7,,0.0
5,ORD10004,2024,2024-07-20,2024-07-19,,CUST3004,Akalya,Home Office,India,Mumbai,Maharashtra,630669,South,PRD5004,Sports,Mobile,Mixer Pro,68969.0,9,0.1,8793.461685489174
6,ORD10005,2023,2023-03-02,2023-03-09,,CUST3005,Meena,Home Office,India,Hyderabad,Telangana,638171,West,PRD5005,Electronics,Shirt,Cotton Shirt,32589.0,2,0.1,7764.377647096493
7,ORD10006,2024,2024-11-21,2024-11-27,Standard Class,CUST3006,Kumar,Home Office,India,Trivandrum,Kerala,696406,South,PRD5006,Home,Perfume,LED Bulb,64246.0,10,0.1,3838.7508928948137
8,ORD10007,2024,2024-10-20,2024-10-25,,CUST3007,Deepa,Consumer,India,Mumbai,Maharashtra,643245,North,PRD5007,Beauty,TV,iPhone 14,28756.0,5,0.0,
9,ORD10008,2024,2024-03-22,2024-03-27,Standard Class,CUST3008,Meena,Home Office,India,Mangalore,Karnataka,693434,North,PRD5008,Sports,Mixer,Sports Watch,32713.0,9,0.0,8888.733055624652
10,ORD10009,2024,2024-01-04,2024-01-08,Second Class,CUST3009,Sara,Corporate,India,Kochi,Kerala,698096,Central,PRD5009,Sports,Laptop,Sports Watch,25452.0,4,0.0,2728.9190018029713
11,ORD10010,2024,2024-04-08,,Same Day,CUST3010,Rahul,Corporate,India,Mumbai,Maharashtra,624626,East,PRD5010,Electronics,Shirt,iPhone 14,68952.0,4,0.2,
12,ORD10011,2024,2024-08-30,2024-08-30,Standard Class,CUST3011,Akalya,Consumer,India,Trivandrum,Kerala,663106,South,PRD5011,Home,Shirt,HP Laptop,55158.0,5,0.2,12611.513759833748
13,ORD10012,2023,2023-06-25,,Standard Class,CUST3012,Akalya,Corporate,India,New Delhi,Delhi,658318,North,PRD5012,Beauty,TV,HP Laptop,66298.0,6,0.0,4475.642599056716
14,ORD10013,2024,2024-08-15,2024-08-22,First Class,CUST3013,Rahul,Home Office,India,Hyderabad,Telangana,640198,East,PRD5013,Beauty,Shoes,Smart TV,66372.0,9,0.2,6766.804822171895
15,ORD10014,2024,2024-01-23,2024-01-24,,CUST3014,Meena,Corporate,India,Nagpur,Maharashtra,612888,Central,PRD5014,Fashion,Laptop,iPhone 14,60312.0,6,0.0,14662.787076756604
16,ORD10015,2024,2024-09-29,2024-10-02,Same Day,CUST3015,Deepa,Home Office,India,Kozhikode,Kerala,657480,Central,PRD5015,Beauty,Laptop,LED Bulb,50858.0,7,0.05,3574.9101181503906
17,ORD10016,2024,2024-03-14,2024-03-14,Standard Class,CUST3016,Akalya,Corporate,India,Kochi,Kerala,669654,West,PRD5016,Fashion,Shoes,Sports Watch,62171.0,7,,18342.85111686652
18,ORD10017,2024,2024-01-27,2024-01-30,Second Class,CUST3017,Rahul,Corporate,India,Kochi,Kerala,678961,North,PRD5017,Fashion,Shirt,Mixer Pro,74742.0,9,0.05,10691.010476527394
19,ORD10018,2024,2024-04-22,2024-04-24,Second Class,CUST3018,Rahul,Consumer,India,Madurai,Tamil Nadu,679094,East,PRD5018,Electronics,TV,HP Laptop,77699.0,8,0.2,12776.853977899722
20,ORD10019,2024,2024-02-23,2024-03-01,Same Day,CUST3019,Kumar,Consumer,India,Hyderabad,Telangana,683347,West,PRD5019,Sports,Shoes,Smart TV,,9,0.1,0.0
21,ORD10020,2024,2024-03-19,2024-03-23,Standard Class,CUST3020,Kumar,Consumer,India,Mysuru,Karnataka,667515,Central,PRD5020,Home,Laptop,HP Laptop,59704.0,1,0.1,9624.035304743404
22,ORD10021,2023,2023-02-15,2023-02-17,Same Day,CUST3021,Meena,Corporate,India,Mysuru,Karnataka,647837,West,PRD5021,Beauty,Mixer,Samsung Mobile,58846.0,4,0.0,17247.447059632475
23,ORD10022,2024,2024-12-04,2024-12-01,Standard Class,CUST3022,Kumar,Home Office,India,Hyderabad,Telangana,689649,South,PRD5022,Beauty,Shirt,Samsung Mobile,16507.0,9,0.1,3437.9077264716707
24,ORD10023,2024,2024-09-30,,Standard Class,CUST3023,Deepa,Home Office,India,Mysuru,Karnataka,602513,West,PRD5023,Electronics,Shoes,Cotton Shirt,31909.0,6,,9077.097977810143
25,ORD10024,2024,2024-09-25,2024-10-01,Same Day,CUST3024,Kumar,Home Office,India,Salem,Tamil Nadu,648773,South,PRD5024,Sports,Shirt,Samsung Mobile,7987.0,5,0.0,1386.9964878086328
26,ORD10025,2024,2024-05-25,,Standard Class,CUST3025,Kumar,Corporate,India,New Delhi,Delhi,649549,South,PRD5025,Electronics,Mobile,Cotton Shirt,5847.0,1,0.0,692.0789025554868
27,ORD10026,2024,2024-03-20,2024-03-20,Second Class,CUST3026,Akalya,Home Office,India,Nagpur,Maharashtra,645869,Central,PRD5026,Fashion,Shoes,Cotton Shirt,29084.0,1,0.05,8315.972499435815
28,ORD10027,2023,2023-01-04,2023-01-09,First Class,CUST3027,Kumar,Corporate,India,Kochi,Kerala,667243,West,PRD5027,Fashion,Shirt,Samsung Mobile,13882.0,5,0.0,731.0575566356013
29,ORD10028,2023,2023-10-05,,Same Day,CUST3028,Vijay,Corporate,India,Coimbatore,Tamil Nadu,626900,North,PRD5028,Fashion,Shirt,iPhone 14,8802.0,1,,2608.7780808990983
30,ORD10029,2023,2023-02-20,2023-02-22,Second Class,CUST3029,Vijay,Home Office,India,Pune,Maharashtra,647494,East,PRD5029,Electronics,Mobile,iPhone 14,60195.0,3,0.2,15323.647387113962
31,ORD10030,2024,2024-08-30,2024-08-31,,CUST3030,Kumar,Home Office,India,New Delhi,Delhi,668240,East,PRD5030,Fashion,TV,HP Laptop,,9,0.2,
32,ORD10031,2023,2023-05-25,2023-06-01,Standard Class,CUST3031,Sara,Home Office,India,Coimbatore,Tamil Nadu,658908,North,PRD5031,Fashion,TV,LED Bulb,78709.0,2,,16400.791691203627
33,ORD10032,2023,2023-11-15,2023-11-15,Same Day,CUST3032,Akalya,Corporate,India,Chennai,Tamil Nadu,631187,Central,PRD5032,Home,Mobile,LED Bulb,10010.0,9,0.0,908.2034701765895
34,ORD10033,2024,2024-07-10,2024-07-12,Second Class,CUST3033,Akalya,Home Office,India,Salem,Tamil Nadu,696040,South,PRD5033,Sports,Mobile,iPhone 14,35916.0,4,0.2,2955.5025790098775
35,ORD10034,2024,2024-03-19,2024-03-26,First Class,CUST3034,Vijay,Home Office,India,Mangalore,Karnataka,644050,North,PRD5034,Electronics,Shoes,Sports Watch,39105.0,1,0.0,8880.91313438354
36,ORD10035,2023,2023-06-05,2023-06-09,Standard Class,CUST3035,Sara,Consumer,India,Pune,Maharashtra,678285,West,PRD5035,Fashion,Laptop,Mixer Pro,11119.0,9,0.2,3262.9992179615124
37,ORD10036,2023,2023-02-15,2023-02-17,,CUST3036,Vijay,Corporate,India,New Delhi,Delhi,603928,East,PRD5036,Fashion,TV,Sports Watch,53846.0,3,0.1,3782.919651164108
38,ORD10037,2024,2024-08-02,,Second Class,CUST3037,Rahul,Home Office,India,Mumbai,Maharashtra,661849,South,PRD5037,Beauty,Perfume,HP Laptop,63235.0,4,,13009.095731480436
39,ORD10038,2023,2023-12-04,2023-12-01,,CUST3038,Vijay,Consumer,India,Bengaluru,Karnataka,648888,Central,PRD5038,Home,Shoes,Nike Shoes,46110.0,3,0.1,11681.818322407213
40,ORD10039,2024,2024-04-28,2024-04-26,First Class,CUST3039,Akalya,Corporate,India,Bengaluru,Karnataka,667267,East,PRD5039,Electronics,TV,Mixer Pro,43352.0,6,0.05,5179.226676587094
